Transaction ID,Posting Date,Effective Date,Transaction Type,Amount,Check Number,Reference Number,Description,Transaction Category,Type,Balance,Memo,Extended Description
,8/25/2023,,Debit,-400,,63937890,Online banking Withdrawal Transfer to LXX00 - Credit Card,Credit Card Payments,Transfer,121.38,,Online banking Withdrawal Transfer to L0100 - Credit Card Payment
,8/25/2023,,Credit,404.48,,63937854,ACH Deposit COMPANY: RENEW ELECTRIC L ENTRY: PAYROLL ISAIAH MALCOM,Paychecks/Salary,ACH,521.38,,ACH Deposit COMPANY: RENEW ELECTRIC L ENTRY: PAYROLL ISAIAH MALCOM
,8/22/2023,,Debit,-21.6,,63829068,Adobe Creative Cloud,Online Services,,116.9,,Bill payment Withdrawal ADOBE CREATIVE CLOUD 5734 408-536-6000 CA
,8/21/2023,,Credit,50,,63664510,Transfer from Zelle,Transfers,,138.5,,Shared branch Deposit ZELLE 6532
,8/20/2023,,Debit,-58,,63658141,Dave & Buster's,Restaurants & Dining,Debit Card,88.5,,Debit Card purchase DAVE & BUSTER'S #92 5812 EL PASO TX
,8/20/2023,,Debit,-24.9,,63641936,RENTACHEFELPASO 5811 EL PASO TX,Rent,Debit Card,146.5,,Debit Card purchase RENTACHEFELPASO 5811 EL PASO TX
,8/20/2023,,Debit,-26.77,,63641935,Rockstar Burger Bar,Restaurants & Dining,Debit Card,171.4,,Debit Card purchase TST* ROCKSTAR BURGER BAR 5812 EL PASO TX
,8/20/2023,,Debit,-8.5,,63641934,Rockstar Burger Bar,Restaurants & Dining,Debit Card,198.17,,Debit Card purchase TST* ROCKSTAR BURGER BAR 5812 EL PASO TX
,8/20/2023,,Debit,-15,,63641933,DIVERSIFIED PARKING INC 7523 EL PASO TX,Travel & Commute,Debit Card,206.67,,Debit Card purchase DIVERSIFIED PARKING INC 7523 EL PASO TX
,8/20/2023,,Debit,-9.9,,63641932,Amazon,Shopping,Debit Card,221.67,,Debit Card purchase AMAZON.COM*TQ0707MN2 5942 AMZN.COM/BILL WA
,8/20/2023,,Debit,-87,,63620531,Online banking Withdrawal Transfer to LXX00 - Credit Card,Credit Card Payments,Transfer,231.57,,Online banking Withdrawal Transfer to L0100 - Credit Card Payment
,8/19/2023,,Debit,-12.63,,63603413,Whataburger,Restaurants & Dining,Debit Card,318.57,,Debit Card purchase WHATABURGER 465 5814 LAS CRUCES NM
,8/19/2023,,Debit,-27,,63603415,AMZN MKTP US*TQ0366ZZ0 5942 AMZN.COM/BILL WA,Shopping,Debit Card,331.2,,Debit Card purchase AMZN MKTP US*TQ0366ZZ0 5942 AMZN.COM/BILL WA
,8/19/2023,,Debit,-3.29,,63603414,Speedway,Gasoline/Fuel,Debit Card,358.2,,Debit Card purchase SPEEDWAY 09128 1685 E. UN 5541 LAS CRUCES NM
,8/19/2023,,Credit,260,,63577285,ATM Deposit CU ANYTIME 6011 1600S VALLEY DR LAS CRUCES NM,Deposits,,361.49,,ATM Deposit CU ANYTIME 6011 1600S VALLEY DR LAS CRUCES NM
,8/19/2023,,Debit,-8.49,,63577214,Circle K,Groceries,Debit Card,101.49,,Debit Card purchase CIRCLE K 06001 5499 LAS CRUCES NM
,8/18/2023,,Debit,-11.99,,63577213,HOSTINGER* HOSTINGER.C 7372 KAUNAS LT,Online Services,Debit Card,109.98,,Debit Card purchase HOSTINGER* HOSTINGER.C 7372 KAUNAS LT
,8/18/2023,,Debit,-300,,63552819,Online banking Withdrawal Transfer to LXX00 - Credit Card,Credit Card Payments,Transfer,121.97,,Online banking Withdrawal Transfer to L0100 - Credit Card Payment
,8/18/2023,,Debit,-17.96,,63552495,Walmart,Shopping,Debit Card,421.97,,POS Card purchase WAL-MART #0806 5411 571 WALTON BLVD LAS CRUCES NM
,8/18/2023,,Debit,-6.5,,63552496,Aggie Car Wash,Automotive Expenses,Debit Card,439.93,,Debit Card purchase AGGIE CARWASH 7542 LAS CRUCES NM
,8/18/2023,,Credit,433.14,,63534426,ACH Deposit COMPANY: RENEW ELECTRIC L ENTRY: PAYROLL ISAIAH MALCOM,Paychecks/Salary,ACH,446.43,,ACH Deposit COMPANY: RENEW ELECTRIC L ENTRY: PAYROLL ISAIAH MALCOM
,8/17/2023,,Debit,-10.82,,63483254,Planet Fitness,Personal Care & Fitness,,13.29,,ACH Withdrawal COMPANY: PLANET FIT ENTRY: CLUB FEES 575-522-7867 ISAIAH MALCOM
,8/17/2023,,Debit,-10.79,,63463323,Circle K,Groceries,Debit Card,24.11,,Debit Card purchase CIRCLE K 06001 5499 LAS CRUCES NM
,8/13/2023,,Debit,-15.97,,63327898,Wendy's,Restaurants & Dining,Debit Card,34.9,,POS Card purchase WENDY'S 8028 5814 565 WALTON BLVD LAS CRUCES NM
,8/13/2023,,Debit,-5.32,,63271521,YouTube Music,Entertainment,Debit Card,50.87,,Debit Card purchase GOOGLE *YOUTUBE MUSIC 7829 G.CO/HELPPAY# CA
,8/12/2023,,Debit,-16.7,,63237167,Raising Cane's,Restaurants & Dining,Debit Card,56.19,,Debit Card purchase RAISING CANES 0340 5814 LAS CRUCES NM
,8/11/2023,,Debit,-9.25,,63237166,Aggie Car Wash,Automotive Expenses,Debit Card,72.89,,Debit Card purchase AGGIE CARWASH 7542 LAS CRUCES NM
,8/11/2023,,Debit,-300,,63177242,Online banking Withdrawal Transfer to LXX00 - Credit Card,Credit Card Payments,Transfer,82.14,,Online banking Withdrawal Transfer to L0100 - Credit Card Payment
,8/11/2023,,Credit,370.49,,63156018,ACH Deposit COMPANY: RENEW ELECTRIC L ENTRY: PAYROLL ISAIAH MALCOM,Paychecks/Salary,ACH,382.14,,ACH Deposit COMPANY: RENEW ELECTRIC L ENTRY: PAYROLL ISAIAH MALCOM
,8/5/2023,,Debit,-16.19,,62842374,Blake's Lotaburger,Restaurants & Dining,Debit Card,11.65,,Debit Card purchase BLAKE S LOTABURGER - 033 5814 LAS CRUCES NM
,8/5/2023,,Debit,-50,,62842372,WELLS FARGO C/A #XX 6010 LAS CRUCES NM,Other Expenses,Debit Card,27.84,,Debit Card purchase WELLS FARGO C/A #005388 6010 LAS CRUCES NM
,8/5/2023,,Debit,-8.53,,62842373,Caliche's Frozen Custard,Restaurants & Dining,Debit Card,77.84,,Debit Card purchase CALICHES FROZEN CUSTARD 5814 LAS CRUCES NM
,8/4/2023,,Debit,-2.25,,62798207,Aggie Car Wash,Automotive Expenses,Debit Card,86.37,,Debit Card purchase AGGIE CARWASH 7542 LAS CRUCES NM
,8/3/2023,,Debit,-400,,62742074,Online banking Withdrawal Transfer to LXX00 - Credit Card,Credit Card Payments,Transfer,88.62,,Online banking Withdrawal Transfer to L0100 - Credit Card Payment
,8/3/2023,,Credit,488.12,,62742039,Check Deposit,Deposits,Deposit,488.62,,Check Deposit
,8/2/2023,,Debit,-21.5,,62704179,McDonald's,Restaurants & Dining,Debit Card,0.5,,Debit Card purchase MCDONALD'S F6849 5814 LAS CRUCES NM
,8/2/2023,,Debit,-92,,62639702,Online banking Withdrawal Transfer to LXX00 - Credit Card,Credit Card Payments,Transfer,22,,Online banking Withdrawal Transfer to L0100 - Credit Card Payment
,8/1/2023,,Credit,14,,62638133,ATM Deposit CU ANYTIME 6011 1600S VALLEY DR LAS CRUCES NM,Deposits,,114,,ATM Deposit CU ANYTIME 6011 1600S VALLEY DR LAS CRUCES NM
,8/1/2023,,Credit,100,,62638132,ATM Deposit CU ANYTIME 6011 1600S VALLEY DR LAS CRUCES NM,Deposits,,100,,ATM Deposit CU ANYTIME 6011 1600S VALLEY DR LAS CRUCES NM
,8/1/2023,,Debit,-0.73,,62625187,McDonald's,Restaurants & Dining,Debit Card,0,,POS Card purchase MCDONALD'S F20533 5814 1751 E UNIVERSITY AVE LAS CRUCES NM
,8/1/2023,,Debit,-30,,62575410,Online banking Withdrawal Transfer to LXX00 - Credit Card,Credit Card Payments,Transfer,0.73,,Online banking Withdrawal Transfer to L0100 - Credit Card Payment
,8/1/2023,,Debit,-7.45,,62575230,Caliche's Frozen Custard,Restaurants & Dining,Debit Card,30.73,,Debit Card purchase CALICHES FROZEN CUSTARD 5814 LAS CRUCES NM
,7/31/2023,,Debit,-78.22,,62575229,The Home Depot,Home Supplies,Debit Card,38.18,,POS Card purchase THE HOME DEPOT #3505 5200 225 TELSHORE BLVD LAS CRUCES NM
,7/31/2023,,Credit,100,,62548879,Credit Card Payment Received,Credit Card Payments,Transfer,116.4,,Online banking Deposit Transfer from S0000
,7/31/2023,,Debit,-46.34,,62548819,RIB HUT 5812 EL PASO TX,Restaurants & Dining,Debit Card,16.4,,Debit Card purchase RIB HUT 5812 EL PASO TX
,7/31/2023,,Debit,-10,,62502384,MUSTANG FRANKLIN 7523 DALLAS TX,Restaurants & Dining,Debit Card,62.74,,Debit Card purchase MUSTANG FRANKLIN 7523 DALLAS TX
,7/30/2023,,Debit,-22.92,,62463825,WingHouse,Restaurants & Dining,Debit Card,72.74,,Debit Card purchase EL PASO WING HOUSE 5812 EL PASO TX
,7/30/2023,,Debit,-39.43,,62463824,Speedway,Gasoline/Fuel,Debit Card,95.66,,Debit Card purchase SPEEDWAY 09128 1685 E. UN 5542 LAS CRUCES NM
,7/29/2023,,Credit,98.25,,62442692,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,135.09,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,7/29/2023,,Debit,-92.93,,62442062,Payment to U-Haul,Rent,Debit Card,36.84,,Debit Card purchase U-HAUL MOVING & STORAGE A 7513 LAS CRUCES NM
,7/29/2023,,Debit,-3.29,,62433357,Speedway,Gasoline/Fuel,Debit Card,129.77,,Debit Card purchase SPEEDWAY 09128 1685 E. UN 5541 LAS CRUCES NM
,7/29/2023,,Debit,-13.08,,62433355,McDonald's,Restaurants & Dining,Debit Card,133.06,,Debit Card purchase MCDONALD'S F20533 5814 LAS CRUCES NM
,7/28/2023,,Debit,-3.32,,62433356,Phillips 66,Gasoline/Fuel,Debit Card,146.14,,Debit Card purchase PHILLIPS 66 - KEWA GAS 1 5541 SANTO DOMINGO NM
,7/28/2023,,Credit,49.7,,62389997,AutoZone,Automotive Expenses,Debit Card,149.46,,POS Card purchase return Adjustment AUTOZONE 02502 5533 1425 S EL PASEO RD LAS CRUCES NM
,7/28/2023,,Debit,-11.65,,62378843,Marathon Petroleum,Gasoline/Fuel,Debit Card,99.76,,Debit Card purchase MARATHON PETRO235069 5541 LEMITAR NM
,7/28/2023,,Debit,-32.4,,62378842,Payment to U-Haul,Rent,Debit Card,111.41,,Debit Card purchase U-HAUL MOVING & STORAGE A 5999 LAS CRUCES NM
,7/28/2023,,Debit,-72.69,,62378841,Road Runner Sports,Shopping,Debit Card,143.81,,Debit Card purchase ROADRUNNER 5541 LEMITAR NM
,7/28/2023,,Debit,-72.5,,62364927,Kewa Gas,Gasoline/Fuel,Debit Card,216.5,,POS Card purchase KEWA GAS 2 5542 HWY 22 W US SANTO DOMINGO NM
,7/27/2023,,Debit,-16.39,,62364926,Taco Bell,Restaurants & Dining,Debit Card,289,,Debit Card purchase TACO BELL 001600167551 5814 LAS CRUCES NM
,7/27/2023,,Debit,-330.63,,62284516,Harbor Freight Tools,Home Supplies,Debit Card,305.39,,Debit Card purchase HARBOR FREIGHT TOOLS 236 5251 LAS CRUCES NM
,7/26/2023,,Debit,-49.7,,62284515,AutoZone,Automotive Expenses,Debit Card,636.02,,POS Card purchase AUTOZONE 02502 5533 1425 S EL PASEO RD LAS CRUCES NM
,7/26/2023,,Credit,491.25,,62239324,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,685.72,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,7/24/2023,,Credit,200,,62139562,Cash Deposit,Deposits,Deposit,194.47,,Cash Deposit
,7/23/2023,,Debit,-16.7,,62094565,Raising Cane's,Restaurants & Dining,Debit Card,-5.53,,Debit Card purchase RAISING CANES 0340 5814 LAS CRUCES NM
,7/23/2023,,Debit,-32.23,,62068140,Speedway,Gasoline/Fuel,Debit Card,11.17,,Debit Card purchase SPEEDWAY 09128 1685 E. UN 5542 LAS CRUCES NM
,7/22/2023,,Debit,-39.1,,62026773,TST* MOOSES DRAFT HOUSE 5813 EL PASO TX,Restaurants & Dining,Debit Card,43.4,,Debit Card purchase TST* MOOSES DRAFT HOUSE 5813 EL PASO TX
,7/22/2023,,Debit,-16.29,,62026772,Amazon,Shopping,,82.5,,Bill payment Withdrawal AMAZON PRIME*GA8WU5AH3 5968 AMZN.COM/BILL WA
,7/22/2023,,Credit,49.13,,62014323,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,98.79,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,7/21/2023,,Debit,-9.44,,62005849,Whataburger,Restaurants & Dining,Debit Card,49.66,,Debit Card purchase WHATABURGER 465 5814 LAS CRUCES NM
,7/20/2023,,Debit,-11.23,,61962723,Wendy's,Restaurants & Dining,Debit Card,59.1,,POS Card purchase WENDY'S 8028 5814 565 WALTON BLVD LAS CRUCES NM
,7/20/2023,,Debit,-18.36,,61961324,AutoZone,Automotive Expenses,Debit Card,70.33,,POS Card purchase AUTOZONE 02502 5533 1425 S EL PASEO RD LAS CRUCES NM
,7/20/2023,,Debit,-8.75,,61954907,Aggie Car Wash,Automotive Expenses,Debit Card,88.69,,Debit Card purchase AGGIE CARWASH 7542 LAS CRUCES NM
,7/19/2023,,Credit,60,,61907179,ATM Deposit CU ANYTIME XX 1715 EAST UNIVERSITY LAS CRUCES NM,Deposits,,97.44,,ATM Deposit CU ANYTIME 6011 1715 EAST UNIVERSITY LAS CRUCES NM
,7/19/2023,,Debit,-8.35,,61907177,Walmart,Shopping,Debit Card,37.44,,POS Card purchase WM SUPERCENTER #806 5411 WAL-MART SUPER CENTER LAS CRUCES NM
,7/19/2023,,Debit,-0.65,,61907178,La Finca,Groceries,Debit Card,45.79,,Debit Card purchase LA FINCA MEAT MARKET 2 5422 LAS CRUCES NM
,7/19/2023,,Debit,-38.98,,61897943,Marathon Petroleum,Gasoline/Fuel,Debit Card,46.44,,Debit Card purchase MARATHON PETRO235069 5542 LEMITAR NM
,7/19/2023,,Debit,-20.78,,61897942,El Parasol,Restaurants & Dining,Debit Card,85.42,,Debit Card purchase EL PARASOL 5812 ESPANOLA NM
,7/18/2023,,Credit,98.25,,61839209,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,106.2,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,7/18/2023,,Debit,-21.6,,61838764,Adobe Creative Cloud,Online Services,,7.95,,Bill payment Withdrawal ADOBE *CREATIVE CLOUD 5734 408-536-6000 CA
,7/17/2023,,Debit,-11.99,,61773010,HOSTINGER* HOSTINGER.C 7372 KAUNAS LT,Online Services,Debit Card,29.55,,Debit Card purchase HOSTINGER* HOSTINGER.C 7372 KAUNAS LT
,7/17/2023,,Debit,-10.82,,61758159,Planet Fitness,Personal Care & Fitness,,41.54,,ACH Withdrawal COMPANY: PLANET FIT ENTRY: CLUB FEES 575-522-7867 ISAIAH MALCOM
,7/17/2023,,Debit,-3.29,,61758158,Speedway,Gasoline/Fuel,Debit Card,52.36,,Debit Card purchase SPEEDWAY 09128 1685 E. UN 5541 LAS CRUCES NM
,7/15/2023,,Debit,-10.59,,61650546,Starbucks,Restaurants & Dining,Debit Card,55.65,,Debit Card purchase STARBUCKS STORE 11645 5814 LAS CRUCES NM
,7/13/2023,,Debit,-500,,61527446,Withdrawal,ATM/Cash Withdrawals,Withdrawal,66.24,,Withdrawal
,7/13/2023,,Credit,500,,61527444,Deposit Transfer from James Matthew Malcom #######535 S0002,Transfers,Transfer,566.24,,Deposit Transfer from James Matthew Malcom #######535 S0002
,7/13/2023,,Debit,-5.32,,61527443,YouTube Music,Entertainment,Debit Card,66.24,,Debit Card purchase GOOGLE *YOUTUBE MUSIC 7829 G.CO/HELPPAY# CA
,7/13/2023,,Debit,-20.16,,61527445,Speedway,Gasoline/Fuel,Debit Card,71.56,,Debit Card purchase SPEEDWAY 09128 1685 E. UN 5542 LAS CRUCES NM
,7/12/2023,,Credit,80,,61477692,ATM Deposit CU ANYTIME 6011 1600S VALLEY DR LAS CRUCES NM,Deposits,,91.72,,ATM Deposit CU ANYTIME 6011 1600S VALLEY DR LAS CRUCES NM
,7/12/2023,,Credit,10,,61477691,ATM Deposit CU ANYTIME 6011 1600S VALLEY DR LAS CRUCES NM,Deposits,,11.72,,ATM Deposit CU ANYTIME 6011 1600S VALLEY DR LAS CRUCES NM
,7/9/2023,,Debit,-9,,61278162,Aggie Car Wash,Automotive Expenses,Debit Card,1.72,,Debit Card purchase AGGIE CARWASH 7542 LAS CRUCES NM
,7/8/2023,,Debit,-39.99,,61235494,Payment to Comcast,Cable & Satellite,,10.72,,Bill payment Withdrawal COMCAST CABLE COMM 4899 800-COMCAST CO
,7/8/2023,,Debit,-76.07,,61235493,Harbor Freight Tools,Home Supplies,Debit Card,50.71,,Debit Card purchase HARBOR FREIGHT TOOLS 236 5251 LAS CRUCES NM
,7/8/2023,,Debit,-141,,61209540,Dick's Sporting Goods,Shopping,Debit Card,126.78,,Debit Card purchase DICKS SPORTING GOODS 5941 LAS CRUCES NM
,7/7/2023,,Credit,49.13,,61191979,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,267.78,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,7/7/2023,,Debit,-5.99,,61184476,Walgreens,Healthcare & Pharmacy,Debit Card,218.65,,POS Card purchase WALGREENS STORE 1256 EL P 5912 LAS CRUCES NM
,7/6/2023,,Debit,-16.7,,61184477,Raising Cane's,Restaurants & Dining,Debit Card,224.64,,Debit Card purchase RAISING CANES 0340 5814 LAS CRUCES NM
,7/5/2023,,Credit,245,,61045505,ACH Deposit COMPANY: VENMO ENTRY: CASHOUT ISAIAH MALCOM,Transfers,ACH,241.34,,ACH Deposit COMPANY: VENMO ENTRY: CASHOUT ISAIAH MALCOM
,7/4/2023,,Debit,-16.7,,61045504,Raising Cane's,Restaurants & Dining,Debit Card,-3.66,,Debit Card purchase RAISING CANES 0340 5814 LAS CRUCES NM
,7/4/2023,,Debit,-100,,60984731,Instacopy,Printing,Debit Card,13.04,,Debit Card purchase INSTA COPY 5943 LAS CRUCES NM
